received_at,id,schema_ref,software_name,software_version,uploader_id,system_name,station_name,event_type,message_data,header_data,data_size
2026-05-25 23:31:45.49706+00,217424093,https://eddn.edcd.io/schemas/journal/1,EDO Materials Helper,3.9.5,f925ea9c0a2ec1c077a8503ab377040a8eb3f906,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T23:31:34Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""f925ea9c0a2ec1c077a8503ab377040a8eb3f906"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""EDO Materials Helper"", ""softwareVersion"": ""3.9.5"", ""gatewayTimestamp"": ""2026-05-25T23:31:42.291932Z""}",2059
2026-05-25 23:17:25.178147+00,217410069,https://eddn.edcd.io/schemas/journal/1,E:D Market Connector [Windows],6.1.2,bb3bf9ce95dbc55b6f1ae8c41f5ea06d42b5e9cb,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T23:17:21Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""bb3bf9ce95dbc55b6f1ae8c41f5ea06d42b5e9cb"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""E:D Market Connector [Windows]"", ""softwareVersion"": ""6.1.2"", ""gatewayTimestamp"": ""2026-05-25T23:17:21.823032Z""}",2069
2026-05-25 22:55:20.754177+00,217390558,https://eddn.edcd.io/schemas/journal/1,EDO Materials Helper,3.9.5,827c3536590e1673aa761aa3406cb3519ed8f6e6,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T22:55:18Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""827c3536590e1673aa761aa3406cb3519ed8f6e6"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""EDO Materials Helper"", ""softwareVersion"": ""3.9.5"", ""gatewayTimestamp"": ""2026-05-25T22:55:19.699522Z""}",2059
2026-05-25 21:13:55.513654+00,217278381,https://eddn.edcd.io/schemas/journal/1,E:D Market Connector [Windows],6.1.2,2b688afd649ad0c4e78318b83aa10b0f893a7bae,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T21:13:50Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""2b688afd649ad0c4e78318b83aa10b0f893a7bae"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""E:D Market Connector [Windows]"", ""softwareVersion"": ""6.1.2"", ""gatewayTimestamp"": ""2026-05-25T21:13:52.145257Z""}",2069
2026-05-25 21:13:55.513654+00,217278422,https://eddn.edcd.io/schemas/journal/1,EDDiscovery,19.1.6.0,2b688afd649ad0c4e78318b83aa10b0f893a7bae,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""timestamp"": ""2026-05-25T21:13:50Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""2b688afd649ad0c4e78318b83aa10b0f893a7bae"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""EDDiscovery"", ""softwareVersion"": ""19.1.6.0"", ""gatewayTimestamp"": ""2026-05-25T21:13:54.755978Z""}",2018
2026-05-25 21:13:55.513654+00,217278437,https://eddn.edcd.io/schemas/journal/1,EDDI,5.0.1,efdd1867b3c416cd4c649cf1a9c6ce68f5223c7d,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T21:13:55Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""efdd1867b3c416cd4c649cf1a9c6ce68f5223c7d"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""EDDI"", ""softwareVersion"": ""5.0.1"", ""gatewayTimestamp"": ""2026-05-25T21:13:55.263494Z""}",2043
2026-05-25 21:10:00.024912+00,217273554,https://eddn.edcd.io/schemas/journal/1,EDDLite,3.3.0.0,9e6b4998a53567146d8d2d1f69fcc587958433ea,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""timestamp"": ""2026-05-25T21:09:55Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""9e6b4998a53567146d8d2d1f69fcc587958433ea"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""EDDLite"", ""softwareVersion"": ""3.3.0.0"", ""gatewayTimestamp"": ""2026-05-25T21:09:58.097084Z""}",2013
2026-05-25 20:56:20.526103+00,217256311,https://eddn.edcd.io/schemas/journal/1,E:D Market Connector [Windows],6.1.2,ec4c79abe2f4efac0b40293babc4f33c09e79cb3,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T19:41:27Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""ec4c79abe2f4efac0b40293babc4f33c09e79cb3"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""E:D Market Connector [Windows]"", ""softwareVersion"": ""6.1.2"", ""gatewayTimestamp"": ""2026-05-25T20:56:15.973535Z""}",2069
2026-05-25 20:39:40.478154+00,217235231,https://eddn.edcd.io/schemas/journal/1,EDDiscovery,19.1.6.0,e07ebd5b7a7b3d29962458c063b61de33009452f,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""timestamp"": ""2026-05-25T20:39:34Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""e07ebd5b7a7b3d29962458c063b61de33009452f"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""EDDiscovery"", ""softwareVersion"": ""19.1.6.0"", ""gatewayTimestamp"": ""2026-05-25T20:39:39.909480Z""}",2018
2026-05-25 20:39:35.326447+00,217235100,https://eddn.edcd.io/schemas/journal/1,E:D Market Connector [Windows],6.1.2,e07ebd5b7a7b3d29962458c063b61de33009452f,Arietis Sector CQ-Y c5,"",FSDJump,"{""Body"": ""Arietis Sector CQ-Y c5 A"", ""Taxi"": false, ""event"": ""FSDJump"", ""BodyID"": 1, ""Powers"": [""Li Yong-Rui""], ""StarPos"": [-80.25, -91.65625, -145.96875], ""odyssey"": true, ""BodyType"": ""Star"", ""Factions"": [{""Name"": ""Koenpa Exchange"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.150548, ""Allegiance"": ""Federation"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Drug Empire of Malayat"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.082752, ""Allegiance"": ""Independent"", ""Government"": ""Anarchy"", ""FactionState"": ""None""}, {""Name"": ""Laukh Services"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.13659, ""Allegiance"": ""Independent"", ""Government"": ""Corporate"", ""FactionState"": ""None""}, {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.524427, ""Allegiance"": ""Independent"", ""Government"": ""Cooperative"", ""ActiveStates"": [{""State"": ""Expansion""}], ""FactionState"": ""Expansion""}, {""Name"": ""House of the Rising CERN"", ""Happiness"": ""$Faction_HappinessBand2;"", ""Influence"": 0.105683, ""Allegiance"": ""Independent"", ""Government"": ""Theocracy"", ""FactionState"": ""None""}], ""horizons"": true, ""Multicrew"": false, ""timestamp"": ""2026-05-25T20:39:34Z"", ""Population"": 214383, ""StarSystem"": ""Arietis Sector CQ-Y c5"", ""SystemAddress"": 1458107781810, ""SystemEconomy"": ""$economy_Industrial;"", ""SystemFaction"": {""Name"": ""Intergalactic Hitchhiker's Coalition"", ""FactionState"": ""Expansion""}, ""PowerplayState"": ""Unoccupied"", ""SystemSecurity"": ""$SYSTEM_SECURITY_low;"", ""SystemAllegiance"": ""Independent"", ""SystemGovernment"": ""$government_Cooperative;"", ""SystemSecondEconomy"": ""$economy_Tourism;"", ""PowerplayConflictProgress"": [{""Power"": ""Li Yong-Rui"", ""ConflictProgress"": 0.001692}]}","{""gamebuild"": ""r327343/r0 "", ""uploaderID"": ""e07ebd5b7a7b3d29962458c063b61de33009452f"", ""gameversion"": ""4.3.3.0"", ""softwareName"": ""E:D Market Connector [Windows]"", ""softwareVersion"": ""6.1.2"", ""gatewayTimestamp"": ""2026-05-25T20:39:35.240168Z""}",2069
